state,year,mean_ndvi
Uttarakhand,2012,0.4846
Andaman and Nicobar,2012,0.7809
Andhra Pradesh,2012,0.4657
Assam,2012,0.5808
Delhi,2012,0.34
Goa,2012,0.6193
Gujarat,2012,0.3595
Haryana,2012,0.4633
Himachal Pradesh,2012,0.3519
Karnataka,2012,0.4555
Kerala,2012,0.7196
Lakshadweep,2012,0.6132
Maharashtra,2012,0.4352
Manipur,2012,0.7365
Meghalaya,2012,0.7058
Mizoram,2012,0.7838
Nagaland,2012,0.7457
Orissa,2012,0.5336
Punjab,2012,0.5304
Rajasthan,2012,0.292
Sikkim,2012,0.4271
Tamil Nadu,2012,0.4935
Tripura,2012,0.6961
West Bengal,2012,0.5206
Arunachal Pradesh,2012,0.7381
Chandigarh,2012,0.4106
Dadra and Nagar Haveli,2012,0.4674
Daman and Diu,2012,0.4285
Puducherry,2012,0.5056
Bihar,2013,0.4973
Chhattisgarh,2013,0.5364
Jharkhand,2013,0.5184
Madhya Pradesh,2013,0.4612
Uttar Pradesh,2013,0.4929
Uttarakhand,2013,0.513
Andaman and Nicobar,2013,0.7843
Andhra Pradesh,2013,0.4913
Assam,2013,0.5984
Delhi,2013,0.3672
Goa,2013,0.6339
Gujarat,2013,0.393
Haryana,2013,0.4894
Himachal Pradesh,2013,0.3701
Karnataka,2013,0.4651
Kerala,2013,0.6966
Lakshadweep,2013,0.5955
Maharashtra,2013,0.4517
Manipur,2013,0.7398
Meghalaya,2013,0.7168
Mizoram,2013,0.7831
Nagaland,2013,0.7562
Orissa,2013,0.5672
Punjab,2013,0.5525
Rajasthan,2013,0.3072
Sikkim,2013,0.4236
Tamil Nadu,2013,0.4792
Tripura,2013,0.7068
West Bengal,2013,0.5369
Arunachal Pradesh,2013,0.7493
Chandigarh,2013,0.4434
Dadra and Nagar Haveli,2013,0.48
Daman and Diu,2013,0.4506
Puducherry,2013,0.5319
Bihar,2014,0.5048
Chhattisgarh,2014,0.5381
Jharkhand,2014,0.5104
Madhya Pradesh,2014,0.4694
Uttar Pradesh,2014,0.4826
Uttarakhand,2014,0.5086
Andaman and Nicobar,2014,0.7992
Andhra Pradesh,2014,0.4805
Assam,2014,0.5896
Delhi,2014,0.3437
Goa,2014,0.6604
Gujarat,2014,0.3923
Haryana,2014,0.4768
Himachal Pradesh,2014,0.3612
Karnataka,2014,0.4888
Kerala,2014,0.7337
Lakshadweep,2014,0.5755
Maharashtra,2014,0.465
Manipur,2014,0.7346
Meghalaya,2014,0.7018
Mizoram,2014,0.7888
Nagaland,2014,0.7495
Orissa,2014,0.5596
Punjab,2014,0.5506
Rajasthan,2014,0.2975
Sikkim,2014,0.4438
Tamil Nadu,2014,0.4883
Tripura,2014,0.7
West Bengal,2014,0.5333
Arunachal Pradesh,2014,0.7337
Chandigarh,2014,0.4263
Dadra and Nagar Haveli,2014,0.484
Daman and Diu,2014,0.4878
Puducherry,2014,0.5509
Bihar,2015,0.4988
Chhattisgarh,2015,0.5325
Jharkhand,2015,0.4926
Madhya Pradesh,2015,0.4668
Uttar Pradesh,2015,0.4722
Uttarakhand,2015,0.5165
Andaman and Nicobar,2015,0.8084
Andhra Pradesh,2015,0.4729
Assam,2015,0.6045
Delhi,2015,0.356
Goa,2015,0.6885
Gujarat,2015,0.3762
Haryana,2015,0.4827
Himachal Pradesh,2015,0.3672
Karnataka,2015,0.4911
Kerala,2015,0.76
Lakshadweep,2015,0.6358
Maharashtra,2015,0.4609
Manipur,2015,0.7362
Meghalaya,2015,0.7208
Mizoram,2015,0.7923
Nagaland,2015,0.758
Orissa,2015,0.5649
Punjab,2015,0.563
Rajasthan,2015,0.2956
Sikkim,2015,0.4551
Tamil Nadu,2015,0.5347
Tripura,2015,0.7064
West Bengal,2015,0.5416
Arunachal Pradesh,2015,0.7563
Chandigarh,2015,0.443
Dadra and Nagar Haveli,2015,0.5009
Daman and Diu,2015,0.4587
Puducherry,2015,0.5714
Bihar,2016,0.4896
Chhattisgarh,2016,0.519
Jharkhand,2016,0.4865
Madhya Pradesh,2016,0.4444
Uttar Pradesh,2016,0.4706
Uttarakhand,2016,0.5086
Andaman and Nicobar,2016,0.7904
Andhra Pradesh,2016,0.4643
Assam,2016,0.6104
Delhi,2016,0.3413
Goa,2016,0.6349
Gujarat,2016,0.3781
Haryana,2016,0.4856
Himachal Pradesh,2016,0.3725
